3.491001741637724;0.0	3.885626938174155;0.0	3.908800648951878;0.0	3.978318580069718;0.0	4.287916369296741;0.0	
3.730114230439138;0.0	4.112127851775576;0.0	4.274113757934074;0.0	4.034083059503018;0.0	4.158117944795784;0.0	
8.5153790028676;0.0	8.40161113486943;0.0	7.958732324131379;0.0	7.996204673715703;0.0	7.861607908777197;0.0	
8.794501322912327;0.0	9.41965422905281;0.0	8.309414171940565;0.0	9.877193118026808;0.0	9.47094288783164;0.0	
7.46028446063584;0.0	8.336648333595956;0.0	7.123336026605579;0.0	9.94873618230322;0.0	8.53874137761641;0.0	
7.031587448393296;0.0	8.395690075061959;0.0	6.5135549202694945;0.0	9.2329697342067;0.0	7.910895508319419;0.0	
9.516231178050809;0.0	9.100593368118476;0.0	9.231736093474069;0.0	8.80926664500771;0.0	7.6448166050857385;0.0	
8.104228503393404;0.0	9.879946598908292;0.0	8.673425173938709;0.0	8.819275506799876;0.0	8.322263439096309;0.0	
8.3500921954888;0.0	11.015747160078723;0.0	7.217862200724354;0.0	7.433966380522966;0.0	8.148964548157794;0.0	
7.184110096781806;0.0	9.296877418163039;0.0	6.8737203535266405;0.0	6.896722199907616;0.0	7.04273335028061;0.0	
8.776236842712784;0.0	8.66693991838796;0.0	6.932636396528839;0.0	6.620991486835573;0.0	6.434975864366631;0.0	
8.34850386323539;0.0	11.136778021333532;0.0	8.872106963505654;0.0	8.386374168154738;0.0	8.279948493943191;0.0	
8.21971075982627;0.0	11.062419031902754;0.0	8.858445652152342;0.0	8.743413454759738;0.0	8.137847709330996;0.0	
5.677814183883666;0.0	9.228045338483964;0.0	7.073450585494554;0.0	6.324779477623029;0.0	6.528699239953313;0.0	
5.6095313896767065;0.0	9.603344104067919;0.0	6.799049058323436;0.0	7.132362233116706;0.0	6.162235593866862;0.0	
7.183390501355136;0.0	9.888942545278198;0.0	7.725208588841643;0.0	9.884815041862513;0.0	9.881314720854514;0.0	
7.509078317546552;0.0	9.032104282837444;0.0	7.341793749304205;0.0	8.29396139804448;0.0	7.955883733760949;0.0	
7.902468852176439;0.0	8.448798279129424;0.0	7.250818284412537;0.0	7.262997568045616;0.0	8.583057587220178;0.0	
8.9818771727442;0.0	9.242545459778649;0.0	7.075773582485164;0.0	6.7946192601814435;0.0	7.120166794930892;0.0	
8.308480349555424;0.0	11.238874547522446;0.0	9.35046334408416;0.0	8.61931697551844;0.0	8.588512436987036;0.0	
8.869897267752533;0.0	10.77585438445365;0.0	9.053700957882238;0.0	9.01602855558079;0.0	7.842226034896516;0.0	
6.8790863157068625;0.0	9.183272209611832;0.0	7.428569166888012;0.0	6.5404282604647275;0.0	5.880801283802203;0.0	
6.680420895045911;0.0	9.44781006943681;0.0	6.931227146863757;0.0	6.749176224890354;0.0	5.747322685105298;0.0	
5.633695944963489;0.0	9.023494224723693;0.0	6.93100095410699;0.0	5.844005447080759;0.0	5.055330328892541;0.0	
9.310912490675989;0.0	10.147313034980078;0.0	8.994965872900806;0.0	8.582763541427655;0.0	7.845385651981378;0.0	
8.850615334902434;0.0	9.965507906331448;0.0	9.043441011206466;0.0	9.062338472068301;0.0	7.865277780858619;0.0	
