3.1056011669465144;0.0	4.01884057677262;0.0	4.314075132888938;0.0	3.8605820044879353;0.0	4.586407645416527;0.0	
3.387787215381794;0.0	4.072499536449017;0.0	4.279732507079683;0.0	4.077925572655072;0.0	4.207989035661266;0.0	
8.514997479218664;0.0	8.409462320378132;0.0	7.964049991159601;0.0	8.013070970422335;0.0	7.856488731422621;0.0	
8.790658879851794;0.0	9.420888674163225;0.0	8.30885589625854;0.0	9.87868297006467;0.0	9.470279612683173;0.0	
7.474318945399198;0.0	8.33198971076198;0.0	7.100478558663755;0.0	9.948657104437984;0.0	8.5429612364608;0.0	
7.0253166150081645;0.0	8.389388506413548;0.0	6.525148067623081;0.0	9.228500503010382;0.0	7.911099967781902;0.0	
9.520091528091585;0.0	9.100456285398824;0.0	9.231034431189727;0.0	8.809217814392737;0.0	7.626464797173195;0.0	
8.116499236153041;0.0	9.879142940978355;0.0	8.672275706948566;0.0	8.818025276655929;0.0	8.324452588833724;0.0	
8.348266116706851;0.0	11.01537074786006;0.0	7.2420677952261165;0.0	7.444748033649235;0.0	8.150118761626809;0.0	
7.201130012376276;0.0	9.29785615269865;0.0	6.876250463506717;0.0	6.88925061539706;0.0	7.055956134842386;0.0	
8.775226077417308;0.0	8.663238582090328;0.0	6.947120915227626;0.0	6.654646537155989;0.0	6.4459595014848565;0.0	
8.345287857552385;0.0	11.13694481528272;0.0	8.871386076770165;0.0	8.387304856521682;0.0	8.282517643505132;0.0	
8.21384118497115;0.0	11.062528877743848;0.0	8.858524655384889;0.0	8.74043354859255;0.0	8.130433431531943;0.0	
5.556361363579223;0.0	9.227184877324516;0.0	7.064175275292162;0.0	6.311088963705083;0.0	6.542646865814628;0.0	
5.637861352645215;0.0	9.602763559784618;0.0	6.758492352976444;0.0	7.1235705337168795;0.0	6.174823325341993;0.0	
7.179501498674031;0.0	9.886656948369396;0.0	7.730931833142921;0.0	9.885215635104252;0.0	9.880143320938666;0.0	
7.507545679324149;0.0	9.027842492576703;0.0	7.360583516823351;0.0	8.287837790451968;0.0	7.948726397557796;0.0	
7.901904475651731;0.0	8.446227187342565;0.0	7.270821527224847;0.0	7.253160976990558;0.0	8.579904065931187;0.0	
8.984431748100967;0.0	9.240546269963026;0.0	7.053619179388683;0.0	6.79270832644961;0.0	7.1193504732687165;0.0	
8.3125907421733;0.0	11.238526999496665;0.0	9.350929439640746;0.0	8.620778814161952;0.0	8.583988597065433;0.0	
8.86613559378391;0.0	10.77492246018568;0.0	9.0523164194796;0.0	9.011574108089974;0.0	7.845835653867922;0.0	
6.879600877310828;0.0	9.181263972733921;0.0	7.452827039557878;0.0	6.574039488309533;0.0	5.909901466646901;0.0	
6.768916625968838;0.0	9.451956614456565;0.0	6.968918082954628;0.0	6.746040803186584;0.0	5.848677731086293;0.0	
